complaint_text,ipc_sections
person cheated victim using false promise,415
boss sexually harassed employee,354A
person misused entrusted property and dacoity occurred in village,"405,395"
person attacked me with dangerous weapon and friend refused to return entrusted money,"324,406"
man used blade during fight,324
someone stole my phone,379
man caused serious bodily harm and attacker forced woman into marriage,"325,366"
man intentionally killed neighbor,302
man kept entrusted money,405
person misbehaved with woman,354
person threatened victim and man punched me causing injury,"503,323"
man created fake documents,465
attacker gave death threats,506
person created forged document and attacker injured victim seriously,"463,326"
man made sexual remarks and someone stole my phone and man threatened my family,"354A,379,506"
attacker gave death threats and person misused entrusted property,"506,405"
dacoity occurred in village and man issued criminal intimidation,"395,503"
person threatened victim and person used forged document,"503,471"
person robbed my wallet and man threatened my family and attacker cheated person,"392,506,415"
attacker used forged paper,471
group attacked me in market,351
man wrongfully restrained victim and attacker injured victim seriously and person made unwanted advances,"341,326,354A"
person blocked my way on road and partner misused entrusted assets and man used blade during fight,"341,405,324"
man prepared fake certificate,463
man caused serious bodily harm,325
man made obscene remarks,509
man caused grievous hurt using knife and person threatened me and demanded money and person threatened victim,"326,384,503"
unknown person kidnapped child and thief stole my wallet,"363,379"
man intentionally killed neighbor and unknown person kidnapped child and attacker forged document for cheating,"302,363,468"
person locked victim inside room and man intentionally killed neighbor,"342,302"
person tried to kill victim with knife and group attacked me in market,"307,351"
man made obscene remarks and person blocked my way on road and public servant misused money,"509,341,409"
attacker broke victim arm and person threatened me and demanded money,"325,384"
person misused entrusted property,405
person kidnapped woman for marriage and bank officer misused entrusted funds and person cheated victim using false promise,"366,409,415"
fake job agent took money,420
person misused entrusted property and person created forged document,"405,463"
attacker injured victim using knife,324
attacker gave death threats and friend refused to return entrusted money,"506,406"
man made obscene remarks,509
man committed rape on woman,376
attacker forged signature,465
attacker broke victim arm and attacker forced woman into marriage,"325,366"
partner kept entrusted property,406
public servant misused money and person broke house lock and stole cash,"409,380"
man attempted to murder neighbor and person forged document to cheat,"307,468"
man physically assaulted victim and person cheated me through fake investment,"351,420"
attacker gave death threats and accused caused death due to rash driving and robber snatched my chain,"506,304A,392"
attacker forged official paper,463
group stopped me from leaving,341
thief entered house and stole jewelry and worker stole money from owner,"380,381"
worker stole money from owner and person created forged document,"381,463"
thief entered house and stole jewelry and dacoity occurred in village,"380,395"
attacker forged signature and public servant misused money and man abducted girl against her will,"465,409,366"
servant stole property from employer,381
attacker injured victim using knife and fake job agent took money,"324,420"
thief entered house and stole jewelry,380
attacker kidnapped victim,364
boss sexually harassed employee,354A
person forged document to cheat and person used forged document,"468,471"
attacker broke victim arm and man prepared fake certificate and person stabbed victim causing death,"325,463,302"
person kidnapped woman for marriage and man kept entrusted money and man attempted to murder neighbor,"366,405,307"
someone stole my phone and person misbehaved with woman,"379,354"
public servant misused money and man wrongfully restrained victim,"409,341"
robber snatched my chain,392
dacoity occurred in village and robber snatched my chain,"395,392"
person stole property using threat,382
person made unwanted advances,354A
man caused serious bodily harm and person kidnapped victim to kill him and man used blade during fight,"325,364,324"
person threatened me and demanded money,384
gang committed dacoity at night,395
accused caused death due to rash driving and man prepared fake certificate,"304A,463"
attacker kidnapped victim,364
bank officer misused entrusted funds and neighbor slapped me during dispute,"409,323"
attacker used forged paper,471
attacker forged signature,465
man abducted girl against her will and attacker used gun during robbery,"366,397"
servant stole property from employer and robber used deadly weapon during robbery and man kept entrusted money,"381,397,405"
person threatened victim and attacker cheated person and person killed pedestrian by careless driving,"503,415,304A"
attacker kidnapped victim,364
man extorted money and attacker forged document for cheating,"384,468"
group attacked me in market,351
man created fake documents,465
person misused entrusted property,405
public servant misused money,409
person used forged document,471
worker stole money from owner and person stole property using threat and attacker insulted woman,"381,382,509"
person robbed my wallet,392
accused caused death due to rash driving and attacker forced victim to pay money,"304A,384"
public servant misused money and driver caused death by negligent driving,"409,304A"
man kept entrusted money and man deceived victim,"405,415"
someone stole my phone and man threatened my family and group stopped me from leaving,"379,506,341"
attacker raped victim and man kept entrusted money,"376,405"
man wrongfully restrained victim,341
person stabbed victim causing death,302
robber snatched my chain and person created forged document,"392,463"
man created fake documents and partner kept entrusted property and attacker gave death threats,"465,406,506"
group robbed victim on road and person kidnapped child from school,"392,363"
person locked victim inside room and person murdered a man during a fight,"342,302"
person threatened victim and man caused serious bodily harm,"503,325"
person forged document to cheat and thief prepared weapon and committed theft,"468,382"
attacker forced woman into marriage and attacker broke victim arm,"366,325"
man issued criminal intimidation and man created fake certificate for fraud,"503,468"
man deceived victim and man outraged modesty of woman,"415,354"
person attacked me with dangerous weapon and attacker broke victim arm and man punched me causing injury,"324,325,323"
partner misused entrusted assets and person misbehaved with woman,"405,354"
intruder stole items from home,380
person misbehaved with woman,354
online scam stole my money,420
attacker gave death threats and man created fake documents and group stopped me from leaving,"506,465,341"
thief entered house and stole jewelry,380
attacker cheated person and attacker gave death threats,"415,506"
person insulted modesty of woman,509
group robbed house violently,395
attacker kidnapped victim,364
partner misused entrusted assets and group confined man inside house,"405,342"
attacker cheated person and man physically assaulted victim and person hit me during argument,"415,351,323"
worker stole money from owner,381
servant stole property from employer and person threatened to kill me,"381,506"
person robbed victim with knife,397
thief entered house and stole jewelry,380
intruder stole items from home and person locked victim inside room,"380,342"
attacker insulted woman,509
person insulted modesty of woman and group abducted man for murder plan,"509,364"
man abducted minor girl and attacker assaulted woman and partner kept entrusted property,"363,354,406"
gang committed dacoity at night,395
person murdered a man during a fight,302
man used blade during fight,324
attacker injured victim using knife and person threatened victim,"324,503"
employee misused company funds,406
person committed forgery and person used forged document and worker stole money from owner,"465,471,381"
person assaulted me during fight,351
driver caused death by negligent driving and person forced sexual act,"304A,376"
attacker used force during theft,382
person stole property using threat,382
person committed forgery,465
group robbed victim on road and person killed pedestrian by careless driving and attacker raped victim,"392,304A,376"
dacoity occurred in village,395
man issued criminal intimidation and person attacked victim with deadly weapon,"503,326"
attacker cheated person and man intentionally killed neighbor,"415,302"
attacker forged official paper,463
man threatened my family,506
man issued criminal intimidation and person made unwanted advances,"503,354A"
worker stole money from owner,381
attacker used force during theft and attacker forced woman into marriage,"382,366"
attacker used force during theft and person kidnapped woman for marriage,"382,366"
man kept entrusted money and thief prepared weapon and committed theft,"405,382"
person kidnapped woman for marriage and person made unwanted advances,"366,354A"
person committed forgery and man caused serious bodily harm,"465,325"
group robbed house violently,395
person attacked victim with deadly weapon,326
attacker forced victim to pay money,384
group confined man inside house and man caused grievous hurt using knife,"342,326"
group attacked me in market and man kept entrusted money and group abducted man for murder plan,"351,405,364"
partner kept entrusted property and robber snatched my chain,"406,392"
attacker kidnapped victim,364
person attacked victim with deadly weapon and driver caused death by negligent driving,"326,304A"
attacker forged document for cheating,468
group stopped me from leaving,341
man wrongfully confined victim and person forged document to cheat,"342,468"
person robbed victim with knife and employee stole valuables from house and attacker fired gun trying to kill victim,"397,381,307"
man caused serious bodily harm and partner misused entrusted assets and driver caused death by negligent driving,"325,405,304A"
boss sexually harassed employee and person misbehaved with woman and someone stole my phone,"354A,354,379"
group stopped me from leaving and man issued criminal intimidation and group robbed victim on road,"341,503,392"
person tried to kill victim with knife and person created forged document and person blocked my way on road,"307,463,341"
person used forged document and group abducted man for murder plan,"471,364"
person used forged document,471
attacker cheated person,415
person attacked victim with deadly weapon,326
man committed rape on woman,376
attacker forged document for cheating,468
fake job agent took money,420
man abducted girl against her will and driver caused death by negligent driving,"366,304A"
man used blade during fight,324
accused caused death due to rash driving,304A
person assaulted me during fight and friend refused to return entrusted money,"351,406"
person broke house lock and stole cash and person cheated victim using false promise,"380,415"
man created fake documents and attacker fired gun trying to kill victim,"465,307"
person attacked me with dangerous weapon and person misused entrusted property,"324,405"
person made unwanted advances,354A
man attempted to murder neighbor and attacker threatened victim,"307,503"
man wrongfully confined victim,342
person robbed my wallet and man wrongfully restrained victim and person kidnapped child from school,"392,341,363"
attacker assaulted woman and person robbed my wallet,"354,392"
thief entered house and stole jewelry and attacker injured victim seriously and group robbed house violently,"380,326,395"
man used blade during fight and person killed pedestrian by careless driving,"324,304A"
person hit me during argument,323
person forged document to cheat and man abducted girl against her will,"468,366"
attacker forged signature and man outraged modesty of woman,"465,354"
person insulted modesty of woman and attacker used forged paper and person committed forgery,"509,471,465"
person murdered a man during a fight and man physically assaulted victim and attacker forged official paper,"302,351,463"
person cheated victim using false promise,415
unknown person kidnapped child and man issued criminal intimidation,"363,503"
partner kept entrusted property and attacker threatened victim,"406,503"
person forced sexual act,376
partner misused entrusted assets and person used forged document,"405,471"
person attacked me with dangerous weapon and dacoity occurred in village,"324,395"
person threatened victim and employee stole valuables from house,"503,381"
attacker assaulted woman and robber used deadly weapon during robbery and person kidnapped woman for marriage,"354,397,366"
group attacked me in market and man extorted money,"351,384"
man made obscene remarks,509
attacker broke victim arm,325
attacker gave death threats,506
attacker raped victim,376
neighbor slapped me during dispute,323
person murdered a man during a fight,302
person threatened me and demanded money and person robbed victim with knife and attacker assaulted woman,"384,397,354"
person kidnapped woman for marriage,366
robber snatched my chain and robber used deadly weapon during robbery,"392,397"
attacker used gun during robbery and attacker threatened victim and man wrongfully confined victim,"397,503,342"
person kidnapped victim to kill him,364
person committed forgery,465
man caused grievous hurt using knife and public servant misused money and group stopped me from leaving,"326,409,341"
thief prepared weapon and committed theft and man threatened my family,"382,506"
person robbed victim with knife and partner misused entrusted assets,"397,405"
gang committed dacoity at night,395
person misused entrusted property and attacker injured victim seriously,"405,326"
man outraged modesty of woman and man issued criminal intimidation and man made obscene remarks,"354,503,509"
person hit me during argument,323
attacker forced victim to pay money and person attacked me with dangerous weapon,"384,324"
man caused grievous hurt using knife,326
attacker cheated person and attacker insulted woman and person stabbed victim causing death,"415,509,302"
person caused grievous injury during fight,325
man wrongfully restrained victim and person assaulted me during fight and person kidnapped victim to kill him,"341,351,364"
person kidnapped woman for marriage and man outraged modesty of woman and man created fake certificate for fraud,"366,354,468"
person kidnapped child from school,363
man extorted money,384
person made unwanted advances,354A
worker stole money from owner,381
man deceived victim and man created fake documents,"415,465"
person robbed my wallet,392
person murdered a man during a fight and partner kept entrusted property and group abducted man for murder plan,"302,406,364"
man issued criminal intimidation and attacker injured victim using knife,"503,324"
dacoity occurred in village and person kidnapped child from school and person robbed my wallet,"395,363,392"
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person murdered another man during fight,302
person murdered another man during fight,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
man intentionally killed neighbor,302
person stabbed victim causing death,302
person murdered another man during fight,302
person stabbed victim causing death,302
person murdered another man during fight,302
person murdered another man during fight,302
person murdered another man during fight,302
person stabbed victim causing death,302
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
attacker attempted murder,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
attacker attempted murder,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
attacker attempted murder,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
attacker attempted murder,307
attacker attempted murder,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
attacker attempted murder,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
person tried to kill victim with knife,307
attacker attempted murder,307
person tried to kill victim with knife,307
man fired gun trying to kill victim,307
man fired gun trying to kill victim,307
attacker attempted murder,307
attacker attempted murder,307
person tried to kill victim with knife,307
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
person hit me during argument,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
man punched me causing injury,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
neighbor slapped me,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
neighbor slapped me,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
man punched me causing injury,323
neighbor slapped me,323
person hit me during argument,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
person hit me during argument,323
person hit me during argument,323
person hit me during argument,323
neighbor slapped me,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
man punched me causing injury,323
person hit me during argument,323
person hit me during argument,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
man punched me causing injury,323
man punched me causing injury,323
neighbor slapped me,323
neighbor slapped me,323
man punched me causing injury,323
person hit me during argument,323
